Record Date,State,Interest Rate Percent,Record Fiscal Year,Record Fiscal Quarter,Record Calendar Year,Record Calendar Month
2016-11-09,Kentucky,2.22559842,2017,1,2016,4
2016-11-09,New York,2.22559842,2017,1,2016,4
2016-11-09,North Carolina,2.22559842,2017,1,2016,4
2016-11-09,Ohio,2.22559842,2017,1,2016,4
2016-11-09,Rhode Island,2.22559842,2017,1,2016,4
2016-11-09,South Carolina,2.22559842,2017,1,2016,4
2016-11-09,Virgin Islands,2.22559842,2017,1,2016,4
2016-11-10,Arizona,2.22559842,2017,1,2016,4
2016-11-10,Arkansas,2.22559842,2017,1,2016,4
2016-11-10,California,2.22559842,2017,1,2016,4
2016-11-10,Connecticut,2.22559842,2017,1,2016,4
2016-11-10,Delaware,2.22559842,2017,1,2016,4
2016-11-10,Indiana,2.22559842,2017,1,2016,4
2016-11-10,Kentucky,2.22559842,2017,1,2016,4
2016-11-10,New York,2.22559842,2017,1,2016,4
2016-11-10,North Carolina,2.22559842,2017,1,2016,4
2016-11-10,Ohio,2.22559842,2017,1,2016,4
2016-11-10,Rhode Island,2.22559842,2017,1,2016,4
2016-11-10,South Carolina,2.22559842,2017,1,2016,4
2016-11-10,Virgin Islands,2.22559842,2017,1,2016,4
2016-11-14,Arizona,2.22559842,2017,1,2016,4
2016-11-14,Arkansas,2.22559842,2017,1,2016,4
2016-11-14,California,2.22559842,2017,1,2016,4
2016-11-14,Connecticut,2.22559842,2017,1,2016,4
2016-11-14,Delaware,2.22559842,2017,1,2016,4
2016-11-14,Indiana,2.22559842,2017,1,2016,4
2016-11-14,Kentucky,2.22559842,2017,1,2016,4
2016-11-14,New York,2.22559842,2017,1,2016,4
2016-11-14,North Carolina,2.22559842,2017,1,2016,4
2016-11-14,Ohio,2.22559842,2017,1,2016,4
2016-11-14,Rhode Island,2.22559842,2017,1,2016,4
2016-11-14,South Carolina,2.22559842,2017,1,2016,4
2016-11-14,Virgin Islands,2.22559842,2017,1,2016,4
2016-11-15,Arizona,2.22559842,2017,1,2016,4
2016-11-15,Arkansas,2.22559842,2017,1,2016,4
2016-11-15,California,2.22559842,2017,1,2016,4
2016-11-15,Connecticut,2.22559842,2017,1,2016,4
2016-11-15,Delaware,2.22559842,2017,1,2016,4
2016-11-15,Indiana,2.22559842,2017,1,2016,4
2016-11-15,Kentucky,2.22559842,2017,1,2016,4
2016-11-15,New York,2.22559842,2017,1,2016,4
2016-11-15,North Carolina,2.22559842,2017,1,2016,4
2016-11-15,Ohio,2.22559842,2017,1,2016,4
2016-11-15,Rhode Island,2.22559842,2017,1,2016,4
2016-11-15,South Carolina,2.22559842,2017,1,2016,4
2016-11-15,Virgin Islands,2.22559842,2017,1,2016,4
2016-11-16,Arizona,2.22559842,2017,1,2016,4
2016-11-16,Arkansas,2.22559842,2017,1,2016,4
2016-11-16,California,2.22559842,2017,1,2016,4
2016-11-16,Connecticut,2.22559842,2017,1,2016,4
2016-11-16,Delaware,2.22559842,2017,1,2016,4
2016-11-16,Indiana,2.22559842,2017,1,2016,4
2016-11-16,Kentucky,2.22559842,2017,1,2016,4
2016-11-16,New York,2.22559842,2017,1,2016,4
2016-11-16,North Carolina,2.22559842,2017,1,2016,4
2016-11-16,Ohio,2.22559842,2017,1,2016,4
2016-11-16,Rhode Island,2.22559842,2017,1,2016,4
2016-11-16,South Carolina,2.22559842,2017,1,2016,4
2016-11-16,Virgin Islands,2.22559842,2017,1,2016,4
2016-11-17,Arizona,2.22559842,2017,1,2016,4
2016-11-17,Arkansas,2.22559842,2017,1,2016,4
2016-11-17,California,2.22559842,2017,1,2016,4
2016-11-17,Connecticut,2.22559842,2017,1,2016,4
2016-11-17,Delaware,2.22559842,2017,1,2016,4
2016-11-17,Indiana,2.22559842,2017,1,2016,4
2016-11-17,Kentucky,2.22559842,2017,1,2016,4
2016-11-17,New York,2.22559842,2017,1,2016,4
2016-11-17,North Carolina,2.22559842,2017,1,2016,4
2016-11-17,Ohio,2.22559842,2017,1,2016,4
2016-11-17,Rhode Island,2.22559842,2017,1,2016,4
2016-11-17,South Carolina,2.22559842,2017,1,2016,4
2016-11-17,Virgin Islands,2.22559842,2017,1,2016,4
2016-11-18,Arizona,2.22559842,2017,1,2016,4
2016-11-18,Arkansas,2.22559842,2017,1,2016,4
2016-11-18,California,2.22559842,2017,1,2016,4
2016-11-18,Connecticut,2.22559842,2017,1,2016,4
2016-11-18,Delaware,2.22559842,2017,1,2016,4
2016-11-18,Indiana,2.22559842,2017,1,2016,4
2016-11-18,Kentucky,2.22559842,2017,1,2016,4
2016-11-18,New York,2.22559842,2017,1,2016,4
2016-11-18,North Carolina,2.22559842,2017,1,2016,4
2016-11-18,Ohio,2.22559842,2017,1,2016,4
2016-11-18,Rhode Island,2.22559842,2017,1,2016,4
2016-11-18,South Carolina,2.22559842,2017,1,2016,4
2016-11-18,Virgin Islands,2.22559842,2017,1,2016,4
2016-11-21,Arizona,2.22559842,2017,1,2016,4
2016-11-21,Arkansas,2.22559842,2017,1,2016,4
2016-11-21,California,2.22559842,2017,1,2016,4
2016-11-21,Connecticut,2.22559842,2017,1,2016,4
2016-11-21,Delaware,2.22559842,2017,1,2016,4
2016-11-21,Indiana,2.22559842,2017,1,2016,4
2016-11-21,Kentucky,2.22559842,2017,1,2016,4
2016-11-21,New York,2.22559842,2017,1,2016,4
2016-11-21,North Carolina,2.22559842,2017,1,2016,4
2016-11-21,Ohio,2.22559842,2017,1,2016,4
2016-11-21,Rhode Island,2.22559842,2017,1,2016,4
2016-11-21,South Carolina,2.22559842,2017,1,2016,4
2016-11-21,Virgin Islands,2.22559842,2017,1,2016,4
2016-11-22,Arizona,2.22559842,2017,1,2016,4
2016-11-22,Arkansas,2.22559842,2017,1,2016,4
2016-11-22,California,2.22559842,2017,1,2016,4
2016-11-22,Connecticut,2.22559842,2017,1,2016,4
2016-11-22,Delaware,2.22559842,2017,1,2016,4
2016-11-22,Indiana,2.22559842,2017,1,2016,4
2016-11-22,Kentucky,2.22559842,2017,1,2016,4
2016-11-22,New York,2.22559842,2017,1,2016,4
2016-11-22,North Carolina,2.22559842,2017,1,2016,4
2016-11-22,Ohio,2.22559842,2017,1,2016,4
2016-11-22,Rhode Island,2.22559842,2017,1,2016,4
2016-11-22,South Carolina,2.22559842,2017,1,2016,4
2016-11-22,Virgin Islands,2.22559842,2017,1,2016,4
2016-11-23,Arizona,2.22559842,2017,1,2016,4
2016-11-23,Arkansas,2.22559842,2017,1,2016,4
2016-11-23,California,2.22559842,2017,1,2016,4
2016-11-23,Connecticut,2.22559842,2017,1,2016,4
2016-11-23,Delaware,2.22559842,2017,1,2016,4
2016-11-23,Indiana,2.22559842,2017,1,2016,4
2016-11-23,Kentucky,2.22559842,2017,1,2016,4
2016-11-23,New York,2.22559842,2017,1,2016,4
2016-11-23,North Carolina,2.22559842,2017,1,2016,4
2016-11-23,Ohio,2.22559842,2017,1,2016,4
2016-11-23,Rhode Island,2.22559842,2017,1,2016,4
2016-11-23,South Carolina,2.22559842,2017,1,2016,4
2016-11-23,Virgin Islands,2.22559842,2017,1,2016,4
2016-11-25,Arizona,2.22559842,2017,1,2016,4
2016-11-25,Arkansas,2.22559842,2017,1,2016,4
2016-11-25,California,2.22559842,2017,1,2016,4
2016-11-25,Connecticut,2.22559842,2017,1,2016,4
2016-11-25,Delaware,2.22559842,2017,1,2016,4
2016-11-25,Indiana,2.22559842,2017,1,2016,4
2016-11-25,Kentucky,2.22559842,2017,1,2016,4
2016-11-25,New York,2.22559842,2017,1,2016,4
2016-11-25,North Carolina,2.22559842,2017,1,2016,4
2016-11-25,Ohio,2.22559842,2017,1,2016,4
2016-11-25,Rhode Island,2.22559842,2017,1,2016,4
2016-11-25,South Carolina,2.22559842,2017,1,2016,4
2016-11-25,Virgin Islands,2.22559842,2017,1,2016,4
